ROOT,AAA,ACAd,ACAv,ACB,AD,AHN,AId,AIp,AIv,AMB,AMd,AMv,AN,AOB,AON,APN,ARH,AUDd,AUDp,AUDv,AV,BLA,BMA,BST,CA1,CA2,CA3,CEA,CENT,CL,CLA,CLI,CM,COAa,COAp,CP,CS,CUL,CUN,DCO,DG,DMH,DN,DP,DR,ECT,ENTl,ENTm,EPd,EPv,FL,FN,FRP,FS,GPe,GPi,GRN,GU,IA,ICc,ICd,ICe,ILA,IMD,IO,IP,IPN,IRN,LA,LAV,LD,LGd,LGv,LH,LHA,LP,LPO,LRN,LSc,LSr,LSv,MA,MARN,MD,MDRNd,MDRNv,MEA,MEPO,MGd,MGm,MGv,MH,MM,MOB,MOp,MOs,MPN,MPO,MPT,MRN,MS,MV,NDB,NI,NLL,NLOT,NOD,NOT,NPC,NTS,ORBl,ORBm,ORBvl,OT,PA,PAA,PAG,PAR,PARN,PB,PCG,PERI,PF,PFL,PG,PGRNd,PGRNl,PH,PIR,PL,PMd,PO,POL,POST,PP,PPN,PRE,PRM,PRNc,PRNr,PRP,PSV,PT,PTLp,PVH,PVT,PVp,PVpo,PYR,RCH,RE,RH,RM,RN,RR,RSPagl,RSPd,RSPv,RT,SBPV,SCm,SCs,SF,SI,SIM,SMT,SNc,SNr,SOC,SPA,SPFm,SPFp,SPIV,SPVC,SPVI,SPVO,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSs,STN,SUBd,SUBv,SUM,SUT,SUV,TEa,TR,TRN,TRS,TT,TU,V,VAL,VCO,VII,VISC,VISal,VISam,VISl,VISp,VISpl,VISpm,VM,VMH,VPL,VPM,VPMpc,VTA,XII
AAA,0,0,0,0,0,0,0,0.0943048929,0,0,0,0.002712153,0,0.0193492911,0.5510523291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001818948,0,0,0.0009736641,0.0021831364,0,0,0,0,0,0,0,0,0,0,0.0094581228,0.0050438355,0,0,0,0.3867234768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148619541,0,0,0,0,0,0,0,0.0002326604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038205966,0,0,0,0,0,0,0.7530856329,0,0,0,0,0,0.2108671716,0,0,0,0.0016145591,0,0,0,0,0,0,0.0009057223,0,0,0,0,0,0.0726708102,0,0,0.0059493475,0.0020353421,0.0599288994,0,0,0,0,0,0,1.2504126511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215557325,0,0.0024889649,0,0.0112007505,0.0012219623,0,0,0,0,0,0,0,0,0,0,0.008226166,0,0,0,0.0082709059,0.0019363123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027214658,0,0,0,0,0,0,0,0,0,0,3.70161228570598E-06,0,0,0,0,0,0,0.000085229,0,0,0,0,0,0,0.1134358665,0
ACAd,0.000532419,1.5500815744,0.9490793085,0.1522913502,0.0095295562,0,0.0238174315,0.0157096759,0.0439392274,0,0.2608088205,0.056587735,0,0.0066589766,0.0406225483,0.3427049604,0,0.0639407495,0.019391096,0,0.1372286071,0.0018397864,0,0.0133170615,0.0028349297,0.0002229573,0.0049349476,0,0,0.1649523698,0.034151947,0,0,0.000492574,0,4.1806608724,0.1237817598,0.0006076112,0,0.0002257663,0.0106173216,0.0072467542,3.06738434365354E-05,0.0245234775,0,0.1137303188,0.0779599882,0.0101426549,0.0098181832,0,5.90829172848895E-05,0.0001021913,0.0100112212,0,0,0,0,0,0,7.44543660098978E-05,0.0006711861,0.0173294572,0.2864622469,0,0,0,0.0108614778,0,0.0012270773,0,0.4504477908,0.0048196302,0.0270661337,0.0517823156,0.0750859964,0.2130306897,0.0199516399,0,0.0040239625,0.0640191222,0,0.003314744,0.0004493479,0.0620460037,0,0,0.000355487,0,0.0059933027,0.0138304584,0.0214610494,0.0003056366,0,0.0071490985,0,1.5308750468,0,0,0.0350293284,0.5866312535,0,0.0033694128,0.0223385523,0.0284692196,0.0008576302,0.0007582151,8.58331355490136E-05,0.0256658659,0.1436419017,0,0.1506460667,0.1493158669,0.4642972692,0.0153324534,0.0007111953,0.0004977844,0.5740058295,0.0118714543,0,0,0.0515876235,0.0267122946,0.005001868,0,0.0998988883,0,0,0.1295587338,0.0359553565,0.4694088416,0,0.1617850197,0.0236769231,0.0493466887,0.0086745139,0.0173817076,0.0270970692,0,0.0197290445,0.2955030517,0.0015232883,0,0,1.1014331941,0.0010537562,0,0,0,0,0,0.0727063984,0.0326063985,0.000452139,0.0112505384,0,0.1139659565,0.9629665385,0.7180537703,0.3123172022,0.0006599789,1.8854913149,0.1545241499,0.0002702548,0,0,0.0254960133,0,0.0786963721,0,0,0.0178501973,0.0813230687,0,0,9.87107434429615E-05,0,0.0233049891,0.0224843825,0,0,0.2089140334,0,0,0.0279779034,0.0048274059,0,0.0175727207,0,0,0.0620313396,0,0.0618427536,0.0002898064,0.051530899,0.0019720977,0,0.1091062202,0.000136052,0,0,0.3715917808,0.6680501934,0.0848198094,0.7007770286,0.0284794634,0.0311572112,0.0912207141,0,0.038712171,0.0431130267,0,0.0979920523,0
ACAv,0,0,0.3158845582,0,0.0079361411,0.0187081425,0,0,0,0,0,0.0041791385,0.0002858529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005974866,0,0.0337124552,0.0008317237,0.0055672032,0,0,0.6650452813,0.0257974261,0,0.0053925165,0,0.0043386266,0,0,0,0.0006358014,0,0,0,0,0,0,0,0,0,0.0094778267,0.0058589344,0,0,0,0,0,0,0.1216520507,0.0045828726,0,0,0.0112250016,0,0,0,0,0.0005848211,0.0179886808,0.016285571,0.1196195721,0,0,0,0,0,0,0,0,0.1100586077,0,0,0,0,0,0,0,0,0.0077338967,0.0049817422,0.1585047047,0,0,0,0.0168121841,0,0,0,0,0.0027730144,0.0028697953,0,0,0,0,0,0,0.0999318692,0,0,0,0,0.2807714548,0,0,0,0.0482661382,0,0.0496175286,0.0011608811,0,0,0,0.0491165145,0,0.1543708684,0.0060694851,0,0,0,0,0.0136386339,0,0.0002228072,0.0013052126,0.0350375755,0,0,0.0034593414,0,0,0.0056151095,0,0,0,0.001327014,0.0543712267,0,0,0,0.0229688155,0.1649481853,0,0,0,0,0,0,0,0.0119131624,0.0001062561,0,0.01221864,0.0276458107,0,0.0043853019,0.0045802523,0,0,0.0008923593,0,0,0,0,0,0,0,0,0,0,0,0,0.0166769389,0,0,0,0,0,0,0,0.0018783305,0,0,0.0002509646,0,0,0,0,0,0,0,0,0.054074359,0,0,0,0.0003758467,0.0237042049,0
ACB,0.021439367,0,0,0.074182913,0,0.0228762442,0,0,0.0090488529,0,0.0008953505,0.000546349,0.0013648767,0,0.3538436132,0,0.003401337,0,0,0,0,0.0092888866,0.0153438553,0.1330838232,0,0,0,0.0135108063,0.0012035242,0.0009394034,0,0.0014503695,4.44638730685803E-05,0.0027552315,0,0.0087045802,0,0.0008828802,0,0.0001559057,0,0.0107868255,0,0.0171996504,0.0002202199,0,0,0,0.0101014812,0.001972121,0.0001038602,0,0,0.0067752394,0,0,0,0,8.28937186595918E-05,5.84003307625501E-05,0.0001914821,0.0004548374,0.0111876493,0,0,0,0,0,0,0,0,0,0,0,0.2332904855,0,0.138681815,0,0,0.0393563532,0.0101201342,0.0166779562,0,0,0,0,0,0,9.78858726962403E-06,0,0.0001082818,0,0,0,0.0029273032,0.003885731,0.0156327444,0.0577404746,0,0.0048080788,0,0,0,0,0,0,6.18578918525553E-05,0,0,0,0,0.0165812593,0,0.0271011862,0.0031531949,0.007313048,0,0,0,0,0,0,0.0013797273,0.0023015708,0,0,0,0,0.167933731,0.0013731097,0,0.0051398132,0,0,0,0,0,0.0009351753,0,0,0,0,0.0077864233,0,0.0067845079,0.0052263468,0.0006844323,0.0016825689,0,0,0.0083086198,0.0007040217,0,0.000057011,0.0344012936,0,0,0,0,0.0016354942,0,0.0005643625,0,0.4716513665,0.0002055946,0,0.0894616765,0.0119444202,0,0,0,0,0.000084219,0.0004942933,0,0,0,0,0,0,0,0,0,0.0005857711,0,0.0150235773,0,0,0,0,0.0142418567,0,0,0.0719091596,0,0,0.0086426932,0.0005195938,0,0,0,0,0,0,0,0,0,0.0057740946,0.000612092,0.0032412021,0,0.0425477454,0
AD,0,0,1.6405335358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1083870247,0,0,0,0.0167325052,0.0008674706,0,0,0.0005645465,0,0,0,0.0780756068,0,0,0,0.0002951079,0,0,0,0,0,0.1049615402,0.3374916707,0.3716862907,0,0,0,0,0,0,0,0,0,0,0,2.48872699599709E-05,0.0006374711,0.001447063,0.1281783538,0,0,0,0,0,0.0086948783,0,0,0,0,0,0,0,0,0,0,0,0.0011935155,0,0,0,0,0,0,0,0,0,0,0,0.0579747133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016521603,0,0,0,0,0,0,0,0,0,0.017359553,1.2413012719,0,0,0,0.0453433982,0,0,0,0,0,0.0098621621,0,0,0.0007357042,0,0,0.32652024,0,0,3.8449102711,0,0,0,0,0,0,0,0.0002458388,0,0,0,0,0,0.0038747973,0,0,0,0,0,0,9.8391285474,0.116382692,0,0,0.1421721842,0,0,0,0,0,0,0,0,0,0,0.0008680911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214579476,0,0,0,0.0246839062,0,0,0,0.0003689032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070337521,0
AHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374637331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433645149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015873616,0,0,0,0,0,0,0.009579101,0.257473316,0,0.1337968758,0,0,0.1714196959,0.014824296,0,0,0.0044311763,0,0,0.0764186497,0.0292139158,0,0,0,0.0037567792,0.0280910814,0,0,0,0,0.0114951994,0,0,0.0923075368,0,0.0602116417,0,0,0,0,0,0,0,0,0,0,0,0.0068722136,0,0,0,0,0,0,0,0,0,0,0,0,0.0955105418,0,0,0.0422880505,0,0,0,0,0,0,0,0,0,0,0,0.0055469792,0,0,0.0086319042,0.0048582554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061593331,0,0,0,0,0,0,0,0.0012816544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228745626,0,0,0,0,0,0.0044441618,0,0.1076125854,0,0,0,0,0,0,0,0,0,0,0,0,0.1588562295,0,0,0,0.0083309441,0
AId,0.0873685711,0,0,0,0,0,0.3112194238,0.3305665516,0,0,0,0,0,0,0,0,0,0,0,0.0007289167,0,0.0682902038,0.0208997416,0,0,0,0,0.1162708284,0,0,0.1331066567,0.0018339766,0.0059565812,0.0214088434,0,2.97638939,0,0,0,0,0,0,0,0,0.0026952831,0,0,0,0,0.0260276735,0.0001360838,0,0.1092260894,0.0536882289,0.2162699541,0,0,0.3242250017,0.0135649825,0,0,0,0,0.0204189969,0,0,0,0,0,0,0,0,0,0.0009650015,0,0,0.0109707854,0,0.009105089,0,0,0.0141588892,0,0.0683741363,0,0,0.0233631412,0,0,0,0,4.27464395613981E-05,0,0,0.3514591378,0,0,0,0,0,0.0002159206,0,0.0132939134,0,0,0.020268924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1512984592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001802566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1179857369,0.0002277982,0,0.0119873453,0,0,0.0165747301,0.0068357091,0.0025503976,0,0,0,0,0,0,0.0075842684,0.0130758809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005859884,0,6.73991781003408E-05,0,0.1960266489,0,0,0,0,0,0,0,0,0,0,0.0167080123,0,0
AIp,0.0163687266,0.0313226305,0.047648463,0.4865950306,0,0,0.6309725089,0,0.1178917605,0.0007659919,0,0.0006088281,0,0,0,0,0,0,0,0,5.15244775451503E-05,0.2303939673,0.1168790007,0.1319595161,0,0,0,0.7484088487,0,0,0.0307632843,0.0010361892,0.0228148857,0.0172718892,0,1.5483971994,0.0017421475,0,0,0,0,0.0110511491,0,0.0153823703,0.0009315455,0,0.1432344946,0.0361424901,0.0238940825,0.0701056809,0,0,0.0385410668,0.1337475033,0.246468922,0,0,0.3180065684,0.0354845201,0,0,0,0.0329421058,0.017132204,0,5.36720719629756E-06,0,0.0062554169,0,0.0004704118,0,0,0,0,0.1616503764,0,0.0097613697,0.0013178815,0,0,0,0,0,0.0506077013,0.000658906,0.0029407985,0.0149657363,8.79290997499383E-06,0,0.0021103772,0,0,3.91721500616438E-05,0,0.2992185921,0.2533740148,0,0,0,0.2278435214,0,0.0038880628,0,0.0001860707,0,0,0,0,0.0011254703,0.0232233707,0.0972675288,0.042743006,0.0687717179,0,0,0,0.0640069357,0.0231758863,0,0.0666710202,0.0079851075,0.0984582147,0.0185923011,0,0.0196097399,0,0.0045482046,0.0140263236,0,0.0659905521,0.0002849804,0.040298674,0.0049226365,0,0,0.0032810061,0.0137402132,0,0.0209141543,0.0252096715,0.0001026369,0,0.0022741049,0,0,0.0110419212,0,0,0,0.0023663466,0.022712639,0.00958413,0,0.0053013006,0.0141563245,0.0017539693,0.0270881724,0.0487630229,0.0079196993,0,0,0,0,0.239299167,0,0.0119826834,0,0.0352840357,0.0023976051,0.020717553,0.0116292699,0.0265832584,0.0012373467,0,0,0,0,0.0111902202,0,0.0650034883,0,0.0296178222,0.0973728072,0.0129493942,0,0,0.0028689304,0.0139779558,0.0028940599,0,0.114133995,0.0001900925,0,0,0.0056682187,0.0076970819,0,0,0.0028479389,0,0,0,0,0,0,0,0.0221302572,0,0,0,0.0043197065,0.0243187562,0.001119039
AIv,0,0.3994555596,0.0407137924,4.9430511003,0,0,1.047709103,0,1.771688614,0,0,0.0062799977,0.0020241869,0.0763684884,0.6768196704,0,0.0009300685,0.0330785957,0.019791867,0.0594269759,0,0.1434427233,0,0.0943524016,0.0082645849,0,0.0010298525,0,0.001401065,0,0.3614114293,0,0,0,0,2.0326487308,0,0.0028836149,0,0.000468809,0.0112210674,0.0039176366,0,0.088664415,0,0.5552427699,0,0,1.0375796905,0,0.0004487897,0,0.3690745577,0.1146001823,0,0,0,0,0,0.0007178335,0.0011532397,0.000498453,0.5693347687,0,0,1.38684667169827E-05,0,0,0.0911974662,0,0,0,0,0.021375767,0.7809051084,0,0.0997599588,0,0,0.1825774982,0,0.1108283061,0,0,0,0,0,0,0.0010473522,0.0028460803,0.0052984852,0,0.0017837901,0,0,2.0910845055,0,0,6.74142195845282E-05,0,0,0,0.1086016359,0.0009848832,0.0011677543,0,0.0003565677,0,0.0062000306,0,1.8954050707,0.8864015929,1.8287531104,1.4025341804,0,0,0.1770945858,0,0,0,0.0172383004,0,0,0.0012730402,0,0,0,0.0488493401,2.4291307489,0.9413236452,0.0012592649,0,0.0068448476,0,0.0002504659,0,0,6.01650605875228E-05,0,0,0,0,0.0037758783,0,0,0.0674647501,0.0005072762,0.0002226256,0,0,0.1066572091,0.0049793769,0,0,0,0,0,0,0,0,0,0.0052362755,7.66789350852844E-05,1.3935614674,0,0.0344418099,0,0,0,0.0019452576,0,0,0,0,0,0,0,0,0,0,0.0248436668,0,0,0,0.0005582332,0,0.0154453077,0,0,0.486744959,0,0,0,0.2747205828,0.0182059028,0,0,0,0,0,0.000312643,0,0,0,0,0,0,0.0002355798,0,0,0,0.0686301239,0
AMB,0.0036299506,2.38984730463924E-05,0,0,0,0.0208724102,0,0,4.06268588789741E-05,0,0,0.000143116,0,0,0.0031093028,0,0.002956268,0,0,0,7.15925171979079E-05,0.0003218771,0.0009446866,0.0342297765,0,0,0,0,0,0,0,4.94172464427091E-05,0,0,0,0,0,0,0.001183132,0,0,0.0286262174,0,0,0,0,0,0,0,0.0001805478,0.0654151033,0,0,0,0.0037424953,0,0.8126479634,0,0.0002883106,0,0,0,0,0.004480762,0,0,0,0.8451237855,0,0,0,0.0001191261,0.00120716,0,0.1071162654,0,0.0315664068,0,0,0.0074457049,0.0018889503,0,0.1091863951,0,0,0,0.0026617667,0.0052007328,0,0.0010855455,0.0005270361,0,0,0,0,0,0.0007592507,0.0131536159,0.0005798208,0,0,0,0,0,0.013740238,0.0001658357,0.0118054471,0,0,0.1583758389,0.0001469683,0,3.09672754943684E-05,0.0123265807,0.0002375433,0,0,0,0.4743920699,0.2535962306,0,0,0,0.0107425514,0,0.0709341162,0,0.0212987739,0.0035704862,0.0003703624,0,0,0,0,0.0014038581,0,0,0,0.2320818793,0,0.0312021114,0,0,0,0.0092865039,0,0,0.0017909221,0,0.0212098426,0,0.0003318517,0,0,0,0,0,0,0,0.003217099,0,0,0,0.041005678,0,0,0,0,0.0020897379,0.0016431016,0.0020644535,0,0,0,0,0.0713217666,0,0,0,0,0,0,0,0.0010343471,0,0,0.0013634841,0,0.0072965183,0,0,0,0,0.0037699166,0.0243726781,0,0,0,1.1428185004,0,0,0,0,0,0,0,0,0.0071955349,0,0,0,0,0
